Fort Collins Senior Center Gym Schedule,,,,,,,,,,,,,,,,,,,
Updated: 5/7/26,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Facility closes at 9 p.m. Please complete all activity and vacate facility at closing time.,,,,,,,,,,,,Facility closes at 9 p.m. Please complete all activity and vacate facility at closing time.,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,5/11,5/12,5/13,5/14,5/15,5/16,5/17,,,,,Master Summer,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-10:15am",,,,,,,6:00 AM,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-9:30am",,
6:30 AM,,,,,,,,,,,,6:30 AM,,,,,,,
7:00 AM,,,,,,,,,,,,7:00 AM,,,,,,,
7:30 AM,,,,,,,,,,,,7:30 AM,,,,,,,
8:00 AM,,Open Gym/                                         Reservable               8-10am,,Open Gym/                                         Reservable               8-10am,,"Novice Pickleball
8-10am ",Ladies Basketball 8-10am,,,,,8:00 AM,,Open Gym/                                         Reservable               8-10am,,Open Gym/                                         Reservable               8-10am,,"Novice Pickleball 
8-10am",Ladies Basketball 8-10am
8:30 AM,,,,,,,,,,,,8:30 AM,,,,,,,
9:00 AM,,,,,,,,,,,,9:00 AM,,,,,,,
9:30 AM,,,,,,,,,,,,9:30 AM,,,,,Transition,,
10:00 AM,Transition,"Novice Pickleball
10am-1pm",Transition,"Novice Pickleball
10am-1pm",Transition,"Pickleball
10am - 12pm ",Basketball 10am-12:15pm,,,,,10:00 AM,Transition,"Novice Pickleball
10am-1pm",Transition,"Novice Pickleball
10am-1pm","Pickleball
10-11:45am","Pickleball 
Open Play 
10am-12pm",Basketball 10-12:15pm
10:30 AM,"Pickleball
10:30am - 12:30pm ",,"Pickleball
10:30am - 12:30pm ",,"Pickleball
10:30am - 12:30pm ",,,,,,,10:30 AM,"Pickleball
10:30am-12:30pm                          No Registration",,"Pickleball
10:30am-12:30pm ",,,,
11:00 AM,,,,,,,,,,,,11:00 AM,,,,,,,
11:30 AM,,,,,,,,,,,,11:30 AM,,,,,Transition,,
Noon,,,,,,Transition,Transition,,,,,Noon,,,,,Noon Ball       12pm-2pm,Transition,Transition
12:30 PM,"Pickleball
12:30-2:30pm",,"Pickleball
12:30-2:30pm",,"Pickleball
12:30-2:30pm",Table Tennis 12:15-5pm,"Novice Pickleball 
12:30-2:30pm",,,,,12:30 PM,"Pickleball
12:30-2:30pm",,"Pickleball
12:30-2:30pm                     No Registration",,,Table Tennis 12:15-5pm,"Novice Pickleball 
12:30-2:30pm"
1:00 PM,,Transition,,Transition,,,,,,,,1:00 PM,,Transition,,Transition,,,
1:30 PM,,Table Tennis 1:15-4:30pm,,Table Tennis 1:15-3:45pm,,,,,,,,1:30 PM,,Table Tennis 1:15-4:30pm,,Table Tennis 1:15-3:45pm,,,
2:00 PM,,,,,,,,,,,,2:00 PM,,,,,Transition,,
2:30 PM,"Pickleball
2:30-4:30pm",,"Pickleball
2:30-4:30pm",,"Pickleball
2:30-4:30pm",,Transition,,,,,2:30 PM,"Pickleball
2:30-4:30pm  ",,"Pickleball
2:30-4:30pm ",,"Pickleball
2:30-4:30pm   No Registration",,Transition
3:00 PM,,,,,,,Table Tennis 2:45-5pm,,,,,3:00 PM,,,,,,,Table Tennis 2:45-5pm
3:30 PM,,,,,,,,,,,,3:30 PM,,,,Transition,,,
4:00 PM,,,,Open Gym 4-5:45pm,,,,,,,,4:00 PM,,,,Open Gym 4-5:45pm,,,
4:30 PM,"Pickleball
4:30-7:00pm",Transition,Transition,,Transition,,,,,,,4:30 PM,"Pickleball
4:30-7:15pm",Open Gym,Transition,,Transition,,
5:00 PM,,ARO 5-7pm,Basketball 4:45-7:15pm,,Volleyball 4:45-7:15pm,,,,,,,5:00 PM,,,Basketball 4:45-7:30pm,,Volleyball 4:45-7:30pm,,
5:30 PM,,,,,,,,,,,,5:30 PM,,Transition,,Transition,,,
6:00 PM,,,,Badminton 6-9pm,,,,,,,,6:00 PM,,ARO Programs 5:45-7pm,,Badminton 6-9pm,,,
6:30 PM,,,,,,,,,,,,6:30 PM,,,,,,,
7:00 PM,Transition,Transition,Transition,,Transition,,,,,,,7:00 PM,Transition,Transition,,,,,
7:30 PM,Open Gym/                                         Reservable               7:15-9pm,Open Gym/                                         Reservable               7:15-9pm,Open Gym/                                         Reservable               7:15-9pm,,Open Gym/                                         Reservable               7:15-9pm,,,,,,,7:30 PM,"Open Gym/
Reservable 7:30-9pm","Open Gym/
Reservable 7:30-9pm","Open Gym/
Reservable 7:30-9pm",,"Open Gym/
Reservable 7:30-9pm",,
8:00 PM,,,,,,,,,,,,8:00 PM,,,,,,,
8:30 PM,,,,,,,,,,,,8:30 PM,,,,,,,
Facility closes at 9 p.m. Please complete all activity and vacate facility at closing time.,,,,,,,,,,,,Facility closes at 9 p.m. Please complete all activity and vacate facility at closing time.,,,,,,,
